doi,authorName,authorID,authorIDtype,authorAffil,affilID,affilIDtype,familyName,givenName,indexID,creatorIndex,affiliationIndex,identifierIndex
10.5061/dryad.02v6wwq1n,"Kim, Seung Ho",NA,NA,DMZ Ecology Research Institute,NA,NA,Kim,Seung Ho,123,3,1,NA
10.5061/dryad.02v6wwq1n,"Kang, Keunwon",NA,NA,DMZ Ecology Research Institute,NA,NA,Kang,Keunwon,123,4,1,NA
10.5061/dryad.02v6wwq1n,"Lee, Myung Hwa",NA,NA,DMZ Ecology Research Institute,NA,NA,Lee,Myung Hwa,123,6,1,NA
10.5061/dryad.70rxwdbvq,"Janzen, Fredric",0000-0002-5919-196X,ORCID,Kellogg Biological Station,NA,NA,Janzen,Fredric,126,3,1,1
10.5061/dryad.gtht76hjh,"Gomez, Jordi",NA,NA,Txepetxa Ringing Association,NA,NA,Gomez,Jordi,127,2,1,NA
10.5061/dryad.gtht76hjh,"Unanue, Azaitz",NA,NA,Txepetxa Ringing Association,NA,NA,Unanue,Azaitz,127,4,1,NA
10.5061/dryad.gtht76hjh,"Perez-Rodriguez, Anton",NA,NA,Universidad Complutense de Madrid,NA,NA,Perez-Rodriguez,Anton,127,5,1,NA
10.5061/dryad.gtht76hjh,"Perez-Tris, Javier",NA,NA,Universidad Complutense de Madrid,NA,NA,Perez-Tris,Javier,127,6,1,NA
10.5061/dryad.h70rxwdgj,"Fay, Philip",NA,NA,"Grassland, Soil and Water Research Laboratory, Agricultural Research Service, US Department of Agriculture",NA,NA,Fay,Philip,129,5,1,NA
10.5061/dryad.h70rxwdgj,"Mitchell, Robert",NA,NA,"Wheat, Sorghum, and Forage Research Unit, Agricultural Research Service, US Department of Agriculture",NA,NA,Mitchell,Robert,129,6,1,NA
10.5061/dryad.h70rxwdgj,"Lloyd-Reilley, John",NA,NA,"Kika de la Garza Plant Materials Center, National Resources Conservation Service",NA,NA,Lloyd-Reilley,John,129,7,1,NA
